ARCH;Model;Energy PS (mJ);Energy PL (mJ)
512;MobileNet;1357.506659395968;1357.506659395968
512;VGG-16;5937.439005143611;5937.439005143611
512;UNet;21371.54390386688;21371.54390386688
512;ResNet-50;61251.749276870265;61251.749276870265
512;DenseNet-201;80518.40194457052;80518.40194457052
1024;MobileNet;1527.4975561981967;1527.4975561981967
1024;VGG-16;5612.091591117181;5612.091591117181
1024;UNet;16161.987704324638;16161.987704324638
1024;ResNet-50;43465.366391548574;43465.366391548574
1024;DenseNet-201;60178.58383928178;60178.58383928178
2304;MobileNet;1770.0123114452615;1770.0123114452615
2304;VGG-16;4919.410979406478;4919.410979406478
2304;UNet;14005.25694610891;14005.25694610891
2304;ResNet-50;33343.086545977625;33343.086545977625
2304;DenseNet-201;46657.71896874381;46657.71896874381
4096;MobileNet;1863.5933358304046;1863.5933358304046
4096;VGG-16;4527.330885187299;4527.330885187299
4096;UNet;12330.872313436676;12330.872313436676
4096;ResNet-50;29556.30311033287;29556.30311033287
4096;DenseNet-201;38832.09381555784;38832.09381555784
